user_id,group,username,Generosity,Learning,Attention,Emotion,Risk Tolerance,Decision Making,Effort,Fairness,Focus
41,1,Participant 41,2.104148345,0.272365379,0.508775509,-0.338445074,0.209599641,-0.067826267,0.308745916,0.897386214,-0.335420263
42,2,Participant 42,0.414165487,-0.005913428,0.903947211,-0.54954305,0.203894707,-0.544890414,-0.848160638,0.903953919,1.852644972
43,1,Participant 43,0.299534609,-0.567368886,0.911394419,-0.82621696,0.123202493,-0.762704294,0.410777004,0.873646538,-0.312780306
44,1,Participant 44,0.346240532,0.215588041,-1.073286132,-0.505851889,0.114794577,-0.810077065,-0.324321967,0.879713062,0.486008388
45,1,Participant 45,1.346719447,-0.689731017,0.459776033,-0.352642084,0.107887248,-0.51890294,0.638509458,0.734114135,-0.953615488
46,0,Participant 46,-1.518891838,-0.358736804,-1.08887963,-0.334065666,0.079177583,0.020646543,0.510546738,-0.019460577,0.753176234
47,1,Participant 47,0.325157463,-0.662082239,0.507826688,0.62401283,0.051757253,-0.228291537,1.073712485,0.821040755,0.157143993
48,1,Participant 48,0.244399413,-0.60553643,-0.174919021,0.064944528,0.049670544,-1.217890078,-1.137815366,0.839031138,-0.423642648
49,1,Participant 49,0.456954074,-0.273013868,0.007594082,0.019391402,-0.0463491,-0.636356412,0.466019728,0.824572008,0.178229257
50,1,Participant 50,0.154257704,0.976083067,1.119483425,-0.520388869,-0.068768288,-0.446401903,-0.387517724,-0.722300113,-0.346937268
51,0,Participant 51,0.366618061,-0.249683051,0.008308287,0.423224327,-0.119461362,-0.000135651,1.616848827,0.467298329,-0.70910344
52,0,Participant 52,-0.202498448,-0.435005725,-0.616546337,-1.092146093,-0.152126958,-1.063117873,0.881889139,-1.16098307,-0.127508744
53,0,Participant 53,-0.85875143,-0.871925001,-1.173290324,0.441962413,-0.211100501,0.141928868,1.164466677,0.697464383,-0.858258511
54,1,Participant 54,0.362647433,-0.608806765,0.042227402,-1.063467655,-0.221824507,-0.48345345,-1.879824446,0.471047384,-0.534968069
55,1,Participant 55,0.361489408,-0.415649761,-0.10224215,-0.210249449,-0.378605809,-0.71325398,-0.112773648,0.402212186,-0.194136741
56,0,Participant 56,0.061021747,-3.839661432,0.92156085,1.266538897,-0.496091036,1.862588317,-1.221129734,0.830192,-0.123468361
57,2,Participant 57,0.565958204,0.556110418,0.122825766,-1.383459346,-0.509346692,0.507438883,0.662168753,0.827703232,0.039442803
58,1,Participant 58,1.262721542,-0.855633841,-0.219979036,0.266253553,-0.590179086,-1.135828498,-1.992546715,0.033866498,-1.152730369
